                        City  Year  Month  Average Temperature (celsius)  Max Temperature (celsius)  Min Temperature (celsius)  Average Wind Speed (m/s)  Total Precipitation (mm)  Max Snow Depth (cm)  Total Precipitation (mm)_ZScore
1415                 Селятин  2012     12                           -6.5                        6.4                      -24.7                       0.7                    123.30                 49.0                         2.125152
1419               Семенівка  2012     10                            8.3                       24.1                       -2.4                       2.7                    128.10                  0.0                         2.253934
1434                Славське  2012      9                           12.7                       27.1                        2.2                       0.6                    136.80                  0.0                         2.487350
1436                Славське  2012     11                            4.4                       15.3                       -6.6                       1.1                    151.20                  0.0                         2.873694
1455               Тернопіль  2012      6                           18.3                       30.5                        7.7                       3.3                    139.50                  0.0                         2.559789
1465      Тетерів (Пісківка)  2012     10                            9.1                       25.2                       -3.8                       1.4                    198.70                  0.0                         4.148092
1467      Тетерів (Пісківка)  2012     12                           -5.3                        5.6                      -17.8                       1.6                    248.50                 53.0                         5.484198
1468                   Турка  2012      9                           12.7                       25.4                        1.6                       1.2                    136.90                  0.0                         2.490033
1495                   Умань  2012     12                           -5.2                       15.7                      -20.4                       2.3                    166.00                 40.0                         3.270769
1527                Хмільник  2012     10                            9.1                       24.2                       -0.5                       1.5                    130.80                  0.0                         2.326373
1529                Хмільник  2012     12                           -5.6                        5.8                      -20.5                       2.0                    162.30                 35.0                         3.171500
1542                    Хуст  2012      9                           17.0                       31.0                        5.5                       0.8                    147.60                  0.0                         2.777108
1544                    Хуст  2012     11                            5.5                       16.5                       -3.0                       0.8                    122.00                  0.0                         2.090274
1545                    Хуст  2012     12                           -0.5                        8.2                       -8.5                       0.8                    130.00                  7.0                         2.304910
1554                 Черкаси  2012      9                           16.0                       27.7                        5.5                       2.1                    171.50                  0.0                         3.418331
1555                 Черкаси  2012     10                           10.5                       24.5                       -2.4                       3.1                    126.10                  1.0                         2.200275
1563                Чернігів  2012      6                           18.9                       96.3                        7.2                       2.6                    124.50                  0.0                         2.157348
1565                Чернігів  2012      8                           19.3                       35.1                        6.0                       2.9                    120.40                  0.0                         2.047347
1573               Чорнобиль  2012     10                            8.8                       23.3                       -4.0                       1.4                    275.20                  0.0                         6.200544
1575               Чорнобиль  2012     12                           -5.1                        7.0                      -19.0                       1.5                    243.10                 42.0                         5.339319
1602                 Чигирин  2012      9                           16.7                       27.2                        8.7                       1.5                    124.00                  0.0                         2.143933
1603                 Чигирин  2012     10                           11.3                       26.4                        0.6                       1.8                    182.40                  1.0                         3.710772
1611                 Чортків  2012     12                           -5.4                        6.4                      -17.3                       1.9                    185.70                 42.0                         3.799309
1617               Шепетівка  2012      6                           18.3                       31.4                        6.8                       2.5                    152.00                  0.0                         2.895157
1619               Шепетівка  2012      8                           18.4                       31.2                        5.4                       2.1                    178.00                  0.0                         3.592723
1626                  Яготин  2012      9                           15.7                       26.7                        6.1                       1.8                    128.50                  0.0                         2.264665
1635                    Ялта  2012     12                            7.1                       15.6                        0.5                       2.3                    170.20                  0.7                         3.383453
1641              Дебальцеве  2012     12                           -5.1                       10.9                      -21.1                       5.1                    147.60                 25.0                         2.777108
1649                 Донецьк  2012      8                           22.7                       36.6                        5.9                       3.4                    120.60                  0.0                         2.052713
1657                 Коломак  2012     10                           10.8                       23.6                       -1.1                       2.9                    313.60                  0.0                         7.230794
1673                 Світязь  2012     10                            7.9                       20.3                       -2.0                       2.0                    179.00                  2.0                         3.619552
1693             Біла Церква  2013      9                           12.3                       22.2                        1.0                       3.9                    157.20                  0.0                         3.034670
1700               Білопілля  2013      9                           12.0                       22.8                        0.4                       2.3                    140.30                  0.0                         2.581253
1721               Богодухів  2013      9                           11.6                       21.0                        0.3                       3.5                    137.40                  0.0                         2.503447
1742          Великий Бурлук  2013      9                           12.0                       22.5                        0.4                       2.9                    133.10                  0.0                         2.388081
1758                 Вінниця  2013      6                           19.3                       29.2                        9.5                       3.2                    128.90                  0.0                         2.275397
1761                 Вінниця  2013      9                           11.8                       21.3                       -0.3                       4.4                    123.70                  0.0                         2.135884
1770               Володимир  2013      6                           18.9                       29.8                        9.0                       1.8                    154.90                  0.0                         2.972963
1778             Вознесенськ  2013      7                           22.3                       32.0                       11.7                       1.3                    160.50                  0.0                         3.123207
1787                   Гадяч  2013      9                           11.9                       22.2                        0.8                       2.8                    165.30                  0.0                         3.251989
